cup_inclination,cup_anteversion,total,d_inc_low,d_inc_high,d_av_low,d_av_high,category
44.43773663803545,4.600158937595044,1,0,0,1,0,MIXED
48.00360956645166,24.40564716391214,0,0,0,0,0,SAFE
26.391718490769307,1.978204931376819,2,1,0,1,0,UNSAFE
43.02272322533828,11.837574076564177,0,0,0,0,0,SAFE
41.86559073996569,6.4695607242642,0,0,0,0,0,SAFE
49.03518379890263,22.777919354289484,0,0,0,0,0,SAFE
42.52824558048973,26.27241206968033,1,0,0,0,1,MIXED
45.74007473801637,6.407075371167618,0,0,0,0,0,SAFE
44.95000627265999,5.411173991710012,0,0,0,0,0,SAFE
49.02760241045818,14.500740890137472,0,0,0,0,0,SAFE
40.52110109163792,8.190704555960586,0,0,0,0,0,SAFE
51.780330709392246,13.45470517931198,1,0,1,0,0,MIXED
38.573377422695145,11.478664495117705,0,0,0,0,0,SAFE
46.25847348442679,18.654440643640783,0,0,0,0,0,SAFE
45.301860892767905,19.308210030078826,0,0,0,0,0,SAFE
59.13318080696369,10.935849836153844,1,0,1,0,0,MIXED
37.902058167427704,6.862272717521222,0,0,0,0,0,SAFE
46.927835380603966,26.289722927208917,1,0,0,0,1,MIXED
41.088420338761,6.598435230374719,0,0,0,0,0,SAFE
35.404150274470084,21.50592787824701,0,0,0,0,0,SAFE
47.946033369627536,20.43154268305195,0,0,0,0,0,SAFE
36.675922341690445,17.321613230667197,0,0,0,0,0,SAFE
42.933486473125825,17.18688596729013,0,0,0,0,0,SAFE
48.97143022358552,17.23595548774682,0,0,0,0,0,SAFE
47.431308504575156,15.675790694888915,0,0,0,0,0,SAFE
44.312955189519876,21.312882258385404,0,0,0,0,0,SAFE
30.34275344115467,11.803287836426986,0,0,0,0,0,SAFE
38.23701876565764,8.61122151756658,0,0,0,0,0,SAFE
39.79886199018653,29.949413112343958,1,0,0,0,1,MIXED
35.07335107445405,24.68278354591481,0,0,0,0,0,SAFE
28.537041827073562,11.651149700142252,1,1,0,0,0,MIXED
43.30202452084004,20.862223313592782,0,0,0,0,0,SAFE
47.68981263834284,22.933472351999253,0,0,0,0,0,SAFE
39.2101994220125,10.376482073354328,0,0,0,0,0,SAFE
48.86380705005723,13.086956751183852,0,0,0,0,0,SAFE
