age,pi,ss,ll_l1s1,ll_l4s1,gt,total,d_rpv,d_rll,d_ldi,d_rsa,d_age,category
63.656604957053176,41.60015893759504,30.96370492900868,61.988558161545484,15.423600408851053,-10.325449184766196,4,0,0,2,1,1,MD
61.53408483800742,48.83757407656418,29.168135185904198,39.0650068285066,29.622667917842385,15.767975791206393,5,2,2,0,0,1,MD
60.79236837073459,63.27241206968033,41.703521979824565,46.91043969507561,31.259950872503868,5.183627368327646,4,0,2,0,1,1,MD
70.54140361568727,51.50074089013747,29.421545625720398,43.111464323516486,35.353877109238404,9.511831744802718,8,2,2,3,0,1,SD
54.86006613404271,48.478664495117705,33.34567218149741,57.144926437775915,38.532359313727845,6.423565810883776,0,0,0,0,0,0,P
85.69977121044553,47.93584983615384,24.663568069120004,39.15812648616645,27.836583917275536,21.813646011945565,6,2,2,0,1,1,MD
58.632630508141496,43.59843523037472,19.563211412694915,58.73803119407662,43.10113032123553,5.458093456589687,3,3,0,0,0,0,MD
52.01388351253567,54.3216132306672,33.52645441152614,58.15721622780215,44.0167066726085,6.372327341004041,2,2,0,0,0,0,P
68.14696275686273,52.67579069488892,33.91842960645322,63.44100826976702,21.424786766655764,2.202688479696463,4,0,0,2,1,1,MD
54.35552814848646,45.61122151756658,25.165594900726475,72.51029150317756,32.205474915447596,4.89095721507818,6,2,3,1,0,0,MD
39.80556274061034,48.65114970014225,30.492714340925392,60.55146730546741,44.08272672203961,6.112631981107633,2,2,0,0,0,0,P
55.81529913301875,47.376482073354325,35.28969629406983,48.18750026712066,17.847515851882903,-3.6996600928695003,3,0,0,2,1,0,MD
48.96657256798066,56.97160744053764,35.322370352887106,66.69166440331223,34.88604442310476,3.8944470690322017,3,2,0,0,1,0,MD
67.50708472760805,48.90653460279761,32.99812266213786,41.96970491553893,22.43911564374162,6.543861923611942,3,0,2,0,0,1,MD
45.64992425293153,56.86972480785582,30.366616163091695,56.46576042523601,38.765686875204075,8.727899841750807,2,2,0,0,0,0,P
67.98462130767344,51.01514515490577,27.22270059659023,51.862556671602185,15.365828016044368,-4.03191552275203,6,2,0,2,1,1,MD
44.12760465174717,42.027531723985184,28.414712848178603,34.532956617790944,18.369141177513818,15.964092784307391,3,0,2,0,1,0,MD
55.72483234726289,59.375155684670865,28.156151970723506,54.57477225855453,23.412360643409905,5.524090841186926,5,3,0,1,1,0,MD
70.08369764948874,34.726795768076514,24.311466609212765,47.66577170742626,23.501752117776004,-8.964921392681596,2,0,0,0,1,1,P
60.865554092566434,46.705072909361974,29.884453436454816,51.01557228300073,45.318163395882486,3.0923455729453435,4,0,0,3,0,1,MD
47.71803008853762,53.79275634956316,34.03562728151202,74.9738296208663,56.25436566034019,1.5376266400420968,4,0,3,0,1,0,MD
77.55963469463474,40.11236945677149,18.94940941206491,33.16316408014145,17.57097968490644,-0.7835454175890977,5,2,2,0,0,1,MD
67.62181136177286,49.777773029012266,18.100213461386094,37.14408894784363,24.382586891198905,18.1161667746728,6,3,2,0,0,1,MD
83.96077070030144,81.1386246600733,51.99845026225195,54.78317176256236,11.845856688991017,23.25630563905652,5,0,2,2,0,1,MD
50.24470685627609,47.84642739820315,23.811082046443424,49.20367177276595,38.96322851420742,5.670563995455646,2,2,0,0,0,0,P
58.09638195553574,41.643462471741884,11.588613925410273,40.60928572335808,23.97243865885465,19.832495873658758,6,3,2,0,1,0,MD
61.56329425767463,61.827395110230576,33.10207227782513,41.230910814371455,17.57587072179246,8.294370422145963,7,2,3,1,0,1,SD
85.54163678922197,43.78613320775614,32.979593554544444,35.538465592960485,27.282280939541423,15.263766852444512,3,0,2,0,0,1,MD
58.12034522810291,51.59237473864566,25.717123279752272,60.066889128486324,31.120833868685747,-5.96991116901018,3,2,0,0,1,0,MD
44.66474910816457,53.725879177221195,44.8682575576162,56.949107751073235,32.953322223576976,5.8919408286115384,0,0,0,0,0,0,P
75.6720209004819,54.193825013638566,29.22887716151324,71.40093440839955,48.35101050619952,16.394100753975785,3,2,0,0,0,1,MD
62.19881324666287,39.755309682795,12.907912215711681,71.629339309006,65.20131020387565,-5.193009638845174,11,3,3,3,1,1,SD
55.401752146368146,66.61444292242203,31.112300297105314,48.217038322994725,34.51369928226842,9.834087511148901,6,3,2,0,1,0,MD
59.938537599359144,50.36557101475488,32.919938999244394,73.81329197782094,45.49152181943857,4.644531798674404,3,0,3,0,0,0,MD
35.39793478762773,51.51281598069882,24.16184742607632,35.04985288302993,15.489671701265253,5.2268732199082155,7,3,3,1,0,0,SD
70.99083050827215,38.736072822604356,23.48669563431795,39.04229855242872,21.122619191475223,14.952426741990784,4,2,0,0,1,1,MD
66.45738524404712,65.37398107442743,37.988343210657256,50.51655041587455,28.274386711908008,15.403209421785455,5,2,2,0,0,1,MD
62.118880301444534,41.156119277666335,25.417589819622794,51.059290554800064,48.50632602706006,17.977249480096557,7,2,0,3,1,1,SD
49.76107979329416,49.12616638450824,17.768163816008915,43.15878630202724,28.347074984261432,16.31382159929512,5,3,2,0,0,0,MD
51.250993947076694,45.45853559932203,10.096809121683979,47.5622057714535,19.44178434601609,-0.13311381857432014,4,3,0,1,0,0,MD
49.47767066198894,51.05737445747443,16.572597543631606,31.07587727074608,29.522083407208775,0.7224565508720442,10,3,3,3,1,0,SD
46.83857305854433,70.36913528321314,65.0,46.129524973387106,24.620028083288368,16.56702698757485,4,1,3,0,0,0,MD
80.74437173286711,42.131429215717624,23.316634761893695,59.832349709570856,40.581763471424445,0.5052739635050671,3,2,0,0,0,1,MD
58.394124425807505,38.25104191630018,21.045235197982787,42.04226070383077,26.982326887202863,-0.4957605313101605,2,2,0,0,0,0,P
65.65846227054166,62.127158178198286,38.5197295282667,64.4462831239971,39.28438949871865,7.866422819392748,3,2,0,0,0,1,MD
51.34130359748583,55.16494261673308,32.320672782731926,85.0,70.0,-0.1460549932318842,9,2,3,3,1,0,SD
50.84331348366279,40.87588528016582,34.05467479281041,51.422975281298285,35.298057594314315,-12.90672934556728,1,0,0,0,1,0,P
71.12926177869817,56.54420338214363,25.04307655397035,49.026439748429766,31.743104662459523,11.498873081983199,6,3,2,0,0,1,MD
56.49394577035734,50.96511731934039,28.56325136594915,55.319252207174245,47.84388172777591,-15.0,6,2,0,3,1,0,MD
57.15779682588379,53.76512421372447,34.627026445731474,48.99209959772911,13.903471822753097,10.506053199766502,2,0,0,2,0,0,P
80.72820256997022,36.66138595083862,28.907455680088677,40.235883926117836,23.69739128876007,-1.2201684976359592,1,0,0,0,0,1,P
55.98652593172948,65.00044594698959,43.661509504095406,85.0,69.01440190135871,4.910850699991869,7,0,3,3,1,0,SD
80.9272143140135,56.38993158738299,40.45786436680626,51.56589807004002,31.557207898389024,6.145894774641001,1,0,0,0,0,1,P
71.87500721513824,40.21696376885134,30.388981000652098,44.25956421029085,35.88673799527251,12.097119236574096,4,0,0,3,0,1,MD
81.84775389176161,59.307746911386445,23.00832610160594,56.614963207789536,22.025411988830086,7.369534147051761,6,3,0,2,0,1,MD
78.13474119932066,58.37533810897696,29.433759436756205,41.900675463331346,25.387651808229865,5.267662589440459,6,2,2,0,1,1,MD
51.94631667124103,55.12009471551244,42.31455311816103,64.44747417689844,12.088276647447678,5.4406769660636805,2,0,0,2,0,0,P
60.86440287879093,56.13890285372693,46.61301916544581,24.92782241747867,12.304407632052294,21.33412543041265,4,0,3,0,0,1,MD
41.020867206552694,66.75949048053509,43.002547189926325,74.41647955194536,37.00211661483632,9.542091927343021,1,0,0,0,1,0,P
72.82165867186846,54.328780201371686,34.47247526241258,58.93597769998032,26.202809111376705,6.293738129412028,2,0,0,1,0,1,P
58.16972961057169,55.83393864353495,41.498957161403325,39.83062502426809,23.00212120852569,23.461491772991096,3,0,2,0,1,0,MD
